ID;DtNascimento;Sexo;Escolaridade;FaixaSalarial;DtIncricaoPlano;% de Contribuicao
1;30/01/1976;M;Superior Completo;L2;16/05/2012;4,0000
2;30/10/1978;M;Superior Completo;L1;03/02/2012;8,0000
3;13/11/1975;F;Superior Completo;L1;12/04/2011;5,0000
4;02/06/1955;M;Superior Completo;L1;25/06/1984;62,0000
5;17/03/1971;F;Superior Completo;L1;07/03/2006;8,0000
6;03/04/1956;M;Superior Completo;L1;24/05/1976;15,0000
7;03/04/1957;M;2o. Grau Completo;L1;22/05/1978;8,0000
8;21/08/1960;M;Superior Completo;L1;24/11/1993;12,0000
9;30/10/1958;F;2o. Grau Completo;L1;25/11/1993;8,0000
10;25/11/1955;F;Superior Completo;L1;03/07/1984;0,0000
11;15/03/1954;M;Superior Completo;L2;03/09/2008;12,0000
12;03/02/1957;F;Superior Completo;L2;09/01/1978;3,0000
13;17/05/1968;F;Superior Completo;L1;07/01/1988;8,0000
14;04/05/1958;F;Superior Completo;L1;26/08/1996;3,0000
15;22/04/1958;M;Superior Completo;L3;25/11/2008;0,0000
16;02/04/1959;M;2o. Grau Completo;L1;21/03/1979;12,0000
17;01/08/1956;M;Superior Completo;L2;24/05/1982;8,0000
18;21/04/1959;M;Superior Incompleto;L1;07/01/1981;9,0000
19;26/07/1955;M;2o. Grau Completo;L1;22/03/1979;14,0000
20;12/06/1958;F;Superior Completo;L1;23/01/1978;8,0000
21;26/12/1955;M;Superior Completo;L2;25/01/1977;8,0000
22;04/02/1959;M;Superior Completo;L2;27/03/1985;0,0000
23;04/03/1955;F;Superior Completo;L2;08/02/2000;0,0000
24;16/11/1958;M;Superior Completo;L2;07/12/2007;0,0000
25;26/01/1957;M;Superior Completo;L2;07/12/2007;0,0000
26;22/10/1959;F;Superior Completo;L2;07/01/2008;0,0000
27;24/02/1962;F;Superior Completo;L3;15/02/2001;0,0000
28;16/04/1959;M;Pos-Graduacao;L1;19/03/2001;8,0000
29;04/12/1956;M;Superior Completo;L3;20/08/1975;0,0000
30;26/12/1957;M;2o. Grau Completo;L2;16/06/1989;0,0000
31;17/03/1952;M;Pos-Graduacao;L2;24/08/1977;0,0000
32;17/11/1952;M;Superior Completo;L3;12/06/1978;0,0000
33;20/07/1955;F;Superior Completo;L3;25/06/1980;0,0000
34;30/10/1958;F;2o. Grau Completo;L1;27/04/1981;8,0000
35;11/07/1951;F;Superior Completo;L3;01/02/1982;0,0000
36;02/03/1955;F;Superior Completo;L2;15/03/1982;0,0000
37;25/04/1984;F;2o. Grau Completo;L1;08/12/2005;7,0000
38;27/07/1958;M;Superior Completo;L2;01/04/1999;13,0000
39;30/05/1959;M;Superior Completo;L3;07/12/2007;8,0000
40;26/07/1957;F;Superior Completo;L3;08/08/2003;8,0000
41;15/09/1980;F;2o. Grau Completo;L1;18/04/2017;4,0000
42;17/06/1948;M;2o. Grau Completo;L2;11/11/1976;0,0000
43;01/10/1981;M;Superior Completo;L2;03/12/2008;8,0000
44;04/04/1956;M;2o. Grau Completo;L2;10/04/1978;12,0000
45;06/01/1996;F;2o. Grau Completo;L1;24/10/2017;4,0000
46;23/03/1958;M;Superior Completo;L3;01/08/2013;8,0000
47;18/09/1959;M;2o. Grau Completo;L2;30/05/1983;3,0000
48;18/06/1982;M;Superior Completo;L2;15/04/2015;5,0000
